DESCRIPTION,CHARGE
ACETAZOLAMIDE SOD@ 500MG INJ(500),282
"ACETAZOLAMIDE TAB, 250MG",24
"ACETIC ACID IRRIG.SOL,0.25%-500ML",28
ACETIC ACID OTIC SOLN 15ML,227
"ACETYCHOLINE INTRAOCULAR, 1%",582
ACETYLCHOLINE RECEPTOR AB,853
"ACETYLCYSTEINE SOLN, 20% (10ML)",83
"ACETYLCYSTEINE SOLN, 20% (4ML)",85
"ACETYLCYSTEINE SOLN,10%(30ML)",65
"ACETYLCYSTEINE,@100MG,INJ(6000MG)",21
ACETYLCYSTINE SOL 20% D5W 100ML,24
ACID PHOS (PROSTATIC),180
ACL GRAFT KNIFE 10MM 232110,"1,019"
ACL GRAFT KNIVE 9MM 232109,"1,019"
ACTH,905
ACTIVATED CLOTTING TIME,170
ACTIVATED PROTEIN C RESIS,327
ACTIVE WOUND CARE > 20 CM,735
ACTIVE WOUND CARE/20 CM OR <,"1,248"
ACULAR OPHTH SOLN 0.5%,780
ACUPUNCTURE-W/O STIM-1ST 15 MIN,50
ACUTE HEPATITIS PANEL,"1,114"
ACYCLOVIR @ 5MG INJ (500MG/10ML),1
ACYCLOVIR @ 5MG INJ(1000MG/20ML),1
ACYCLOVIR @ 5MG INJ(50MG-PED SYR),0
ACYCLOVIR @ 5MG INJ(5MG-NICU SYR),1
ACYCLOVIR 5% OINT 15GM,"4,519"
"ACYCLOVIR CAP, 200MG",7
"ACYCLOVIR CRM 5%, (5 GM)","4,557"
ACYCLOVIR SUSP 200MG/5ML,27
"ACYCLOVIR TAB, 800MG",21
ADAPER OFFSET TRIATH 2MM 55705020,"6,418"
ADAPT STEM OSS 1CM 150494,"27,404"
ADAPT TRAY HUMER EQUINOXE 3201000,"8,976"
ADAPTER APEX PIN HOFFMAN 49331020,"1,458"
ADAPTER OFFSET 4MM,"6,418"
ADAPTER SMR STD+4 133015274,"2,045"
ADAPTER STAGE1 HIP NECK 431186,"1,432"
ADAPTER TUOHY BORST G18813,163
ADAPTOR FEMORAL 5,"8,554"
ADAPTOR TAPER HUM HEAD 118001,"1,148"
"ADENOSINE,PER 1 MG, INJ (12MG)",6
"ADENOSINE,PER 1 MG, INJ (60 MG)",10
"ADENOSINE,PER 1 MG, INJ (6MG)",7
ADENOVIRUS,302
ADHESIVE SKIN MASTISOL 2OZ 052306,157
ADL/LIFE SKILLS OCCUPATIONAL THER,255
ADMINISTRATION OF FLU VACCINE,68
ADMINISTRATION-HEP.B VACCINE,102
ADMINISTRATION-PNEUMONIA VACCINE,102
ADRENAL ANTIBODY,283
AEQUALIS REVERSED,"9,180"
AEQUALIS REVERSED 3MM,"8,494"
AEROBIC ISOLATE ID,189
AEROSOL TRMT/INITIAL EVAL,340
AEROSOLIZED TREATMENT SUBSEQUENT,209
AFB SMEAR ONLY,125
"AGGRENOX CAPSULE, 25MG-200MG",47
"ALBENDAZOLE TAB, 200 MG",763
"ALBUMIN 25%, PER 50ML, INJ(100ML)",564
"ALBUMIN 5%, PER 250ML, INJ(500ML)",354
"ALBUMIN INJ, 25% (50ML)",564
"ALBUMIN INJ, 5% (250ML)",637
"ALBUMIN INJ, 5% (50ML)",167
"ALBUMIN, SERUM",116
ALBUTEROL 2MG/5ML SYRUP,4
"ALBUTEROL CFC FREE INHALER,90MCG/",386
"ALBUTEROL HFA INHALER, 18 GM",365
"ALBUTEROL NEB SOLN, 0.083% (3ML)",2
"ALBUTEROL NEB SOLN, 0.5% (20ML)",1
"ALBUTEROL NEB SOLN,0.021%(3ML)PED",6
"ALBUTEROL NEB SOLN,0.042%(3ML)PED",7
"ALBUTEROL NEB SOLN,0.5%(0.5ML)",1
"ALBUTEROL SULFATE INHALER, 18GM",132
ALBUTEROL SULFATE PER MG,15
"ALCHOL SOL, 70% (480ML)",12
"ALCOHOL,BLOOD-ETHANOL ASSAY",252
ALDACTAZINE ORAL SUSP,3
ALDOLASE SERUM,226
ALDOSTERONE PLASMA,959
ALEXIS EXTRACTION SYSTEM GTG17,"4,816"
ALEXIS ORTHO PROTECT SM/MED HR004,847
"ALISKIREN TAB, 150MG",41
ALKALINE PHOS BONE ISO 29498,545
ALKALINE PHOSPHAT ISOENZ,344
ALKALINE PHOSPHATASE,122
"ALLERGY TESTING,PERC/DERM,# TESTS",100
ALLOGRAFT ACHILL TENDW/BLCK453042,"11,676"
ALLOGRAFT BIOADAPT DBM BRIDGE24CC,"8,173"
ALLOGRAFT BIOREADY DBM5CC DS00105,"3,503"
ALLOGRAFT BONE PATELLA10MM 443002,"21,490"
ALLOGRAFT BONEPAT TEND9/10 443012,"20,141"
ALLOGRAFT BREASTFLEXHD11X20SF2000,"30,836"
ALLOGRAFT BREASTFLEXHD13X22SF3000,"33,483"
ALLOGRAFT BREASTFLEXHD13X22SF3300,"30,636"
ALLOGRAFT BRST KIT 9X15 SF1000,"19,017"
ALLOGRAFT CANC PLUG 11 FCPD11,"2,611"
ALLOGRAFT FEM HEMICOND LFT FCA80,"67,843"
ALLOGRAFT FEMORAL CORT STRUT 25CM,"14,960"
ALLOGRAFT FIBULA SHAFT 10 CM,"4,782"
ALLOGRAFT FLEXIGRAFT FROZ FGL,"13,830"
ALLOGRAFT GRAFIXCORE5X5CM PS12055,"15,967"
ALLOGRAFT ILIUM 60MM 450910,"18,476"
ALLOGRAFT ILLUM 2.2CMX55MM 400520,"15,636"
ALLOGRAFT LATERAL MENISCUS,"34,990"
ALLOGRAFT MENISCUS LFT FMNLL,"26,884"
ALLOGRAFT PATELTENDON11/11 443005,"20,141"
ALLOGRAFT POST TIB 220MM 443016,"15,179"
ALLOGRAFT REV CORE 14MM 400134,"6,867"
ALLOGRAFT REV CORE10MM 400130,"6,526"
ALLOGRAFT STRAVIX 2X4CM PS60005,"9,428"
ALLOGRAFT STRAVIX 3X6CM PS60008,"14,974"
ALLOGRAFT TALUS LFT 32647002,"37,947"
ALLOGRAFT TEND VERSAGRAFT VRG001,"7,531"
ALLOGRAFT TENDON3-10MMX26 430350,"8,845"
ALLOGRAFT TISJUVCARTIL00560600011,"25,595"
ALLOGRAFT TRINITY ELITE 410002,"17,689"
ALLOGRAFT WEDG25-30MM ILIAC450914,"9,097"
ALLOGRAFT WEDGE8MM ILIAC CR450913,"5,494"
ALLOGRAFT WEDGE9MM ILIAC CR450912,"5,882"
ALLOGRFT GRAFIXPRIME2X3CM PS11023,"6,101"
ALLOGRFT GRAFIXPRIME3X4CM PS11034,"7,487"
ALLOGRFT GRAFIXPRIME5X5CM PS11055,"15,973"
ALLOGRFT PUROS CANC PART1CC 68211,800
"ALLOPURINOL TAB, 100MG",2
ALLOWRAP DS 2X2 CM 31022002,"6,120"
"ALLUPURINOL TAB, 300 MG",4
ALPHA FETOPROTEIN SERUM,391
ALPHA I ANTITRYPSIN,316
ALPHA/ANTITRYPSIN PHENOTY,337
ALPHAGAN P 0.15%,738
ALPRAZOLAM 0.25MG TAB,0
ALPRAZOLAM 0.5MG TAB,4
"ALPROSTADIL PED INJ, 500MCG/ML",2
ALS I NON-EMERGENCY TRANSPORT,"1,538"
ALS LEVEL 1 ASSESSMENT ONLY,"3,432"
ALS LEVEL 1 EMERGENCY TRANSPORT,"3,432"
ALS LEVEL 2,"3,820"
"ALTAZANAVIR CAP, 150MG",157
"ALTAZANAVIR CAP, 200MG",157
"ALTEPLASE, PER 1 MG, INJ (1MG/ML)",266
"ALTEPLASE, PER 1 MG, INJ (2MG)",491
"ALTEPLASE, PER 1 MG,INJ (100 DIL)",560
"ALUM HYDROXIDE SUSP, 320 MG/5ML",27
ALUM. AMMONIUM PWD.,255
ALUMINUM,590
AMANTADINE 100MG CAP,12
"AMANTADINE SYRUP, 50MG/5ML",8
AMBULANCE SERVICE(BLS)TRANSPORT,943
AMIKACIN SULF@100MG INF(500MG-PB),17
AMIKACIN SULF@100MG INF(5MG-NICU),6
"AMILORIDE TAB, 5 MG",7
"AMINO ACID 5% / DEX 15%, 2000 ML",453
"AMINO ACID 5% / DEX 20%, 2000 ML",567
"AMINO ACID INJ, 10% (PEDIATRIC)",21
"AMINO ACID INJ, 15% (NOVAMINE)",85
AMINO ACID QUANT ON CSF,"1,179"
AMINO ACID QUANTIT ON URI,401
AMINOCAPROIC ACID 500MG TAB,140
"AMINOCAPROIC ACID INJ, 5G/20ML",15
AMINOPHYLLIN @ 250MG INJ (250MG),23
AMIODARENE,249
AMIODARONE 200MG TAB,3
AMIODARONE HCL @ 30 MG INJ (150),5
AMIODARONE HCL @ 30 MG INJ (450),2
AMIODARONE HCL @ 30 MG INJ (900),4
AMIPICILLIN @500MG INJ(VIAL125MG),118
AMIPICILLIN @500MG INJ(VIAL250MG),45
AMIPICILLIN @500MG INJ(VIAL500MG),25
AMITRIPTYLINE ASSAY,417
AMITRIPTYLINE HCL TAB 50MG,4
"AMITRIPTYLINE HCL TAB, 10MG",1
"AMITRIPTYLINE HCL TAB, 25MG",2
"AMLODIPINE BESYLATE TAB, 2.5MG",9
"AMLODIPINE BESYLATE TAB, 5MG",9
"AMLODIPINE TAB, 10MG",1
AMMONIA PLASMA,342
"AMMONIA SPIRIT, ARROMTIC INH",2
AMNIOCENTESIS,989
AMOXICILLIN & K CLAVANATE,28
AMOXICILLIN 250MG CAP,1
"AMOXICILLIN CAP, 500MG",2
AMOXICILLIN SUSP 125MG/5ML (UD),2
"AMOXICILLIN SUSP, 250MG/5ML (UD)",2
"AMOXICILLIN SUSP, 400 MG/5ML",3
AMPHOTERICIN B@50MG INJ(50MGVIAL),258
AMPICILLIN @500MG INJ (1G ADD),24
AMPICILLIN @500MG INJ (1G VIAL),25
AMPICILLIN @500MG INJ (2G ADD),24
AMPICILLIN @500MG INJ (2G VIAL),23
"AMPICILLIN CAP, 250MG",1
"AMPICILLIN CAP, 500MG",2
"AMPICILLIN SUSP,250MG/5ML (UD)",4
AMYLASE SERUM,170
ANA,313
ANA QUANTITATION,261
ANAEROBIC ISOLATE ID,190
ANBESOL LIQUID (9ML),27
ANCH SUT HEALIX BR 5.5 3SUT222298,"1,860"
ANCH SUTSWVLCK5.5X19.1MMAR2323BCC,"2,290"
ANCHOR CANC HTO 28MM AR1340128,"1,506"
ANCHOR CANC IBAL HTO26MMAR1340126,"1,507"
ANCHOR CANCELL HTO 30MM AR1340130,"1,507"
ANCHOR CANCELL HTO 32MM AR1340132,"1,507"
ANCHOR CORKSCREW 5.5 AR1927BCT,"2,033"
ANCHOR CORT HTO 32MM AR1340230,"1,506"
ANCHOR CORT HTO 38MM AR1340238,"1,507"
ANCHOR CORT HTO 44MM AR1340244,"1,507"
ANCHOR GRYPHON PEEK 3.0 223147,"2,678"
ANCHOR KNOTLESS TITAN MITEK212029,"1,913"
ANCHOR MINI SUT #0 ORTHO 212038,"2,391"
ANCHOR PEG SHOULDERGLENOID SZ52MM,"9,040"
ANCHOR QCKANCHR2MMW2ORTHCRD212035,"1,891"
ANCHOR QFIX SUR 1.8 251800,"2,189"
ANCHOR QFIX SUT 2.8 252800,"2,189"
ANCHOR SUT 4.75X19.1 AR2324PSLC,"1,927"
ANCHOR SUT BIO4.75X19.1 AR2324BCC,"2,290"
ANCHOR SUT BIOC 6.25X19.1AR1662BC,"2,048"
ANCHOR SUT FIBERTAK DBLLD AR36022,"2,160"
ANCHOR SUT FOOTPRINT 4.5 72202901,"2,074"
ANCHOR SUT FOOTPRINT 4.5 72203783,"2,481"
ANCHOR SUT HEALICOIL 4.5 72203378,"2,210"
ANCHOR SUT HEALICOIL 5.5 72203380,"2,299"
ANCHOR SUT HEALICOIL 5.5 72203983,"2,189"
ANCHOR SUT HEALICOIL 5.5 72203984,"2,189"
ANCHOR SUT HEALIX 5.5 222331,"2,105"
ANCHOR SUT MENS DARTSHEALTHAR3007,536
ANCHOR SUT MULTIFIX 5.5 72290001,"2,189"
ANCHOR SUT PEEK 2.9X12.5 AR2923PS,"1,985"
ANCHOR SUT PEEK 4.75 AR2324PCT,"2,481"
ANCHOR SUT PEEK 5.5 72203379,"2,014"
ANCHOR SUT PEEK 5.5X20 AR2323PSL,"2,145"
ANCHOR SUT PEEK 7X19.5 AR1662PSL7,"2,317"
ANCHOR SUT PEEK5.5X19.1AR2323PSLC,"1,927"
ANCHOR SUT RELOAD AR7203,132
ANCHOR SUT SWIVLCK8X19.5AR1662BC8,"2,440"
ANCHOR SUTURE 2.4X6.5 AR1320BCNF,"1,859"
ANCHOR SUTURE 2.9X12.5 AR2923BC,"2,288"
ANCHOR SUTURE 3X14MM AR1934BCF2,"1,927"
ANCHOR SUTURE BIORAP 72201541,"1,643"
ANCHOR SUTURE FASTIN#2 222720,"2,163"
ANCHOR SUTURE FOOTPNT5.5 72202902,"1,722"
ANCHOR SUTURE GII SZ2 222983,"1,860"
ANCHOR SUTURE HEALIX 6.5MM 222301,"1,860"
ANCHOR SUTURE HEALIX BR4.5 222296,"1,860"
ANCHOR SUTURE PEEK4.75 AR2324PCTT,"2,481"
ANCHOR SUTURE TIGER STICK AR7209T,276
ANCHOR SUTUREFIX 1.7MM 72203852,"1,894"
ANCHOR SUTUREFIX 1.9MM 72203854,"1,925"
ANDROSTENEDIONE,691
"ANELGESICS,NON-OPIOID,1-2 ASSAY",642
ANESTHESIA ENDO,"3,116"
ANESTHESIA EPIDURAL/SPINAL/OB,"3,525"
ANESTHESIA OR,"7,287"
"ANG,EXTREMY, BILAT,S&I","5,322"
"ANG,PEL,SEL/SUB-SEL S","4,603"
"ANG,PUL,UNI,SELCT, S&","3,222"
"ANG,VISC,SEL/SUB SEL","8,072"
ANGIO CONV ENZYME,343
ANGIO EXT UNI S&I,"4,867"
"ANGIOGRAPHY,SPINAL SELECTIVE","5,373"
ANKLE 2 VIEWS,577
ANKLE 3+ VIEWS,649
ANNULOTOMY KNIVE 158703,"1,662"
ANTENNA INTERSTIM EXTERNAL,519
ANTEPARTUM MANIPULATION (VERSION),"3,426"
ANTHOLOGY OFFSET STD SZ 7,"13,153"
ANTHOLOGY SZ 10 STD HA,"13,153"
ANTHOLOGY SZ 11,"13,153"
ANTHOLOGY SZ 12 STD ST (71357012),"13,153"
ANTI DNA DOUBLE STRAND,451
ANTI DNA SINGLE STRAND,284
ANTI DNASE B TITER,311
ANTI GLIADIN ANTIBODIES,283
ANTI HEPATITIS B CORE IGM,278
ANTI JO-1 (POLYMYOSITIS),419
ANTI MITOCHONDRIAL,282
ANTI RNA,419
ANTI SCLERODERMA,419
"ANTIBODY ELUTION, RBC",288
"ANTIBODY ID, RBC, EACH",556
"ANTIBODY, INFLUENZA VIRUS",317
"ANTIBODY, WEST NILE VIRUS",208
"ANTIBODY, WEST NILE VIRUS, IGM",244
"ANTIBODY,CMV,IGM",399
"ANTIBODY,HIV-1",208
ANTICARDIOLIPIN ANTIBODY,601
ANTICOAG.PRACTICE-PHARM.VISIT PT,128
ANTIDIURETIC HORMONE,809
ANTI-ENDOMYSIAL ANTIBODIE,283
ANTIGLORMERULAR BASE MEM,302
ANTIHISTONE ANTIBODIES,257
ANTIMYOCARDIAL,283
ANTINEUTROPHIL ANTIBODY,283
ANTINUCLEAR ANTIB ON BD F,313
ANTIOXIDANT MULTIVIT W/MINERAL PE,2
ANTIPANCREAT ISLE CELL AB,419
ANTIPARIETAL ANTIBODY,283
ANTIPLATELET ANTIBODY,434
ANTISMITH AB,282
ANTI-STREP TITER,172
ANTITHROMBIN III,279
ANTITHROMBIN III ANTIGEN,256
ANTITHYROGLOBULIN ANTIBOD,370
ANUSOL SUPP,2
"AORT, THOR, BY SER S&I","3,067"
"AORTOGRAM, AORTOFEM",362
APEX PIN BOLT 3-6 49331022,729
APH-DIAGNOSTIC INTERVIEW W/ OTHER,491
APH-DIAGNOSTIC INTERVIEW-DR/APN,700
APH-EDUCATION AND TRAINING,566
APHERESIS RED BLOOD CELLS,"2,907"
APH-FAMILY PSYCHOTHER.W/ PAT.,500
APH-GROUP PSYCHOTHERAPY,500
APH-MED.MANAGEMENT-DETAIL/MODER.,255
APH-MED.MANAGEMENT-EXPAND/LOW,196
APH-PATIENT PSYCHOTHER.-45 MIN.,650
"APIXIBAN TAB, 2.5 MG",47
"APIXIBAN TAB, 5 MG",44
APNEA TEST,154
APOLIPOPROTEIN EACH,360
APPL LOWER LEG SPLINT,301
APPL OF FINGER SPLINT,301
APPL OF FOREARM CAST,730
APPLICATION COLD PACKS,77
APPLICATION HOT PACKS,77
APPLICATION OF PASTE BOOT,525
APPLICATION OF PASTE BOOT BILATER,788
APPLICATOR ENDOSCOPIC FOR SURG,281
APPLICATOR FUSE CEMENT 985002,"1,156"
APPLIER CLIP LIGAMAX 5,"1,071"
APPLY FOREARM SPLINT,301
APPLY FOREARM SPLINT-DYNAMIC,267
APPLY LONG ARM SPLINT,301
APPLY MULTLAY COMPRS LWR LEG,"1,017"
"APPLY ON-BODY INJECTOR,TIMED INJ.",495
APPLY RIGID LEG CAST,"1,177"
APPLY SHORT LEG CAST,505
"AQUAPHOR OINT, 1.75G",24
"AQUASOL A INJ 100,000U/2ML","7,852"
ARCH FOOT 155MM 49346155,"6,072"
"ARGATROBAN,NON-ESRD,PER 1 MG (50)",32
"ARGATROBAN,NON-ESRD,PER 1MG (250)",12
ARGININE INFUSION 10% 300ML,238
"ARIPIPRAZOLE ORAL SOLN, 1MG/ML (1",44
"ARIPIPRAZOLE TAB, 10MG",182
"ARIPIPRAZOLE TAB, 15MG",174
"ARIPIPRAZOLE TAB, 2MG",175
"ARIPIPRAZOLE TAB, 5MG",170
ARISTA 1GR HEMOSTAT SM0005USA,497
ARISTA 3GR HEMOSTAT SM002USA,989
"ARSENIC, URINE",447
"ART,ABD,TRAN, BY SER, S","3,361"
ARTERIAL PUNCTURE,116
ARTERIOGRAM EXTREMITY BIL-S & I,"5,322"
ARTERIOGRAM EXTREMITY UNIL-S & I,"4,949"
ARTHROFLEX 2MM DECELLDERM AFLEX20,"21,647"
ARTHROFLEX 3MM 40X70 AFLEX301,"22,704"
ARTHROFLEX1.5 35X35DERMISAFLEX100,"12,287"
ARTHROGRAPHY SHOULDER CMP,801
ARTICULAR SURFACE SZ 5-6 12MM,"5,117"
ARTICULAR SURFACE SZ E F 10MM,"5,117"
ARTIFICIAL TEARS OPHTH SOLN 15ML,29
ASCA ANTIBODIES/FUNGUS (NES),289
ASCORBIC ACID 250MG TAB,0
ASCORBIC ACID 500MG TAB,0
ASCORBIC ACID 500MG/5ML SYR 12,1
ASCORBIC ACID INJ 500 MG/ML 1ML,12
ASPIRATE PLEURA W/IMAGING,"2,063"
ASPIRATE PLEURA W/O IMAGING,"1,300"
"ASPIRATION, HIP KNEE SHOULDER",542
ASPIRIN 300MG SUPP,8
ASPIRIN 325MG E.C. TAB,0
"ASPIRIN SUPP, 600MG",9
"ASPIRIN TAB CHEW, 81MG",1
"ASPIRIN TAB EC, 325MG",0
"ASPIRIN TAB EC, 81MG",0
"ASPIRIN,BUFFERED 325MG TAB",0
ASSAY OF FETAL FIBRONECTIN,"1,533"
ASSAY OF LIPOPROTEIN(A),94
ASSAY OF NOS VITAMIN,402
ASSAY OF URINE SULFATE,122
ASSAY TEST FOR BLOOD FECAL,179
"ASSAY, NEPHELOMETRY EACH ANALYTE",315
"ASSAY, PH, BODY FLUID, NOS",57
ASSEMBLY 1MM BF PIRANHA,"2,561"
ASSEMBLY FEM LEG HK SZ3 71421373,"51,031"
ASSEMBLY FEM LEG HK SZ5 71421375,"51,031"
"ASSESS CYST, CONTRAST INJECT",264
ATENOLOL TAB 50MG,5
"ATENOLOL TAB, 25MG",5
"ATOMEXETINE CAP, 25MG",82
"ATOMOXETINE CAP, 10MG",39
"ATOMOXETINE CAP, 40MG",89
"ATORVASTATIN TAB, 10MG",3
"ATORVASTATIN TAB, 20MG",3
"ATORVASTATIN TAB, 40MG",4
ATOVAQUONE SUSP 750MG/5ML,215
"ATOVAQUONE SUSP, 750 MG/5 ML",205
ATRICLIP 40MM PRO140,"15,617"
ATROPINE 0.4MG/ML INJ 1ML,1
"ATROPINE INJ, 1MG/ML (1ML)",0
ATROPINE OPTH SOLN 1% 1ML,174
"ATROPINE SYRN, 0.1MG/ML (10ML)",0
AUG AEQ GLENOID SZMED DWK404RA25S,"17,000"
AUG AEQ GLENOID SZMED DWK404RA35S,"17,000"
AUG AEQ PERF GLEN MED DWK404LA35S,"17,000"
AUG AEQ PERFORM GLEN DWK405RA15S,"17,000"
AUG AEQ PERFORMLRGLFT DWK405LA25S,"17,000"
AUG AEQ PERFORMSM LFT DWK403LA25S,"17,000"
AUG AEQPERFORMGLENLRG DWK405LA35S,"17,000"
AUG CORTILOCGLEN LRGRTDWK405RA25S,"17,000"
AUG FEM ATTUNE REV SZ3 154703001,"7,064"
AUG FEM ATTUNE REV SZ5 154705001,"7,064"
AUG FEM ATTUNE REV SZ5 154905001,"7,064"
AUG FEM ATTUNE REV SZ6 154706001,"7,064"
AUG FEM ATTUNE REV SZ6 154706002,"7,064"
AUG FEM ATTUNE REV SZ7 154707002,"7,064"
AUG FEM ATTUNE REVSZ4 4 154904001,"5,394"
AUG FEM ATTUNE REVSZ5 8 154705002,"5,394"
AUG FEM ATTUNE SZ4 4MM154704001,"7,064"
AUG FEM ATTUNE SZ4 8MM 154704002,"7,064"
AUG FEM ATTUNE SZ6 REV 154906001,"7,064"
AUG FEM ATTUNE SZ7 4 154707001,"7,064"
AUG FEM ATTUNE SZ7 REV 154907001,"7,064"
AUG FEM ATTUNEREV SZ8 4 154908001,"7,064"
AUG FEM ATTUNEREV SZ8 8 154708002,"7,064"
AUG FEM ATTUNEREVSZ4 12 154704003,"5,394"
AUG FEM ATTUNEREVSZ5 12 154705003,"5,394"
AUG FEM ATUNEREV SZ4 8 154708001,"7,064"
AUG FEM CONE TRIATH SZA 5549A110,"19,265"
AUG FEM CONE TRIATH SZB 5549A120,"19,265"
AUG FEM CONE TRIATH SZC 5549A130,"19,265"
AUG FEM CONE TRIATH SZD 5549A140,"19,265"
AUG FEM CONETRIATH SZ7/8 5549A371,"19,265"
AUG FEM OSS SZ SM 151853,"15,634"
AUG FEM TRIATH SZ1 5MM 5540-A-101,"6,698"
AUG FEM TRIATH SZ1 5MM 5543A100,"6,495"
AUG FEM TRIATH SZ2 15 5542A201,"6,557"
AUG FEM TRIATH SZ3 10MM5544A300,"6,495"
AUG FEM TRIATH SZ3 5MM 5543A300,"6,377"
AUG GLENOID AEQ SM RT DWK403RA15S,"17,000"
AUG TIB ATTUNE 5MM 152303001,"8,027"
AUG TIB ATTUNE REV 10MM 152303102,"8,027"
AUG TIB CONE TRIATH SZB 5549A221,"19,265"
AUG TIB CONE TRIATH SZD 5549A241,"19,265"
AUG TIB CONE TRIATH SZD 5549A242,"19,265"
AUG TIB TRIATH SZ1 5545A102,"4,947"
AUG TIB TRIATH SZ1 5546A101,"5,221"
AUG TIB TRIATH SZ1 RT 5546A102,"3,313"
AUG TIB TRIATH SZ5 5MM HF BLK LFT,"5,662"
AUGMENT BONE GRAFT 3CC K20003010,"20,433"
AUGMENT DISTAL 5MM WITH SCREW SZ,"5,894"
AUGMENT DISTAL FEM#3 10MM5541A302,"6,698"
AUGMENT DISTAL LEFT FEM 5541A201,"6,698"
AUGMENT DISTAL LEFT FEMORAL,"6,377"
AUGMENT DISTAL LEFT FEMORAL #5 5M,"6,377"
AUGMENT DISTAL RT FEMORAL #3 5MM,"6,377"
AUGMENT FEM TRIATH SZ5 5540A502,"6,377"
AUGMENT FEM TRIATHSZ4 0MM5541A401,"6,698"
AUGMENT FEM TRIATHSZ4 5MM5540A401,"6,377"
AUGMENT FEM TRIATHSZ65MM5540A602,"6,377"
AUGMENT POSTERIOR 5MM SCREW SZ D,"5,894"
AUGMENT POSTERIOR FEMORAL,"6,377"
AUGMENT TIBIAL HALF BLOCK5545A101,"5,749"
AUGMENTATION DISTAL 3.0 (96-0860),"4,158"
"AUGMENTIN SUSP, 125MG/5ML",189
"AUGMENTIN SUSP, 200MG/5ML",11
"AUGMENTIN SUSP, 250MG/5ML",41
"AUGMENTIN SUSP, 400MG/5ML",20
AUGMENTIN TAB 500MG,21
"AUGMENTIN TAB, 250MG",34
AUTOLOGOUS BLOOD UNIT PROCESSING,632
"AVITENE HEMOSTAT, 70MM X 35MM",619
"AVULSION OF NAIL PLATE, SINGLE",493
AXILLARY SHEATHKITIMPELLA00520011,"1,460"
AXLE 150480,"2,625"
AXLE FOR SM DISTAL FEMUR 64952115,"6,847"
"AZACITIDINE, PER 1 MG, INJ(100MG)",35
AZATHIOPRINE @ 50 MG TAB (ORAL),13
AZITHROMYCIN,151
"AZITHROMYCIN CAP, 250MG",42
"AZITHROMYCIN SUSP, 200MG/5ML",33
"AZITHROMYCIN,@ 500MG, INJECTION",51
"AZITHROMYCIN,@ 500MG,INJ (50-PED)",41
"AZITHROMYCIN,@ 500MG,INJ (A-VANT)",67
AZTREONAM IN DEXTROSE 5% INF 2G,453
"AZTREONAM IN DEXTROSE 5% INF, 1G",227
"AZTREONAM INJ, 1GM (VIAL)",224
"AZTREONAM, 2 GM, INJ (VIAL)",455
B CELLS TOTAL COUNT,759
B PERTUSSIS/PARA IGA AB,312
B PERTUSSIS/PARA IGG AB,312
B PERTUSSIS/PARA IGM AB,312
